idSolicitudes;FechaEntradaOCM;idSolicitantes;idEstados;idInstituciones;idDocumentos;idDistrito;idDelegacion;Distritos_idDistritos;AprobadaOCM;FechaAprobacionOCM;FechaPresentacion;FechaInicioExpediente;TextoCabecera;Descripción;SolicitudPrevia;Observaciones;Instituciones_idInstituciones;Solicitantes_idSolicitantes;Estados_idEstados;FechaContestacion;Imagen;SeguimientoSolicitante;idPrograma;idEconomico;GradoRespuesta;Delegaciones_idDelegaciones;Estados_idEstados1;createdAt;updatedAt;idUserCreate;idUserUpdate
37;;0;0;0;0;0;0;1;;;;;;Plan Nacional Ciudades Inteligentes;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
38;;0;0;0;0;0;0;1;;;;;;Plan viabilidad FUNDARTE;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
39;;0;0;0;0;0;0;1;;;;;;Asuntos relacionados con el Parque Bomberos de Jerez;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
40;;0;0;0;0;0;0;1;;;;;;Expediente licitacion desmontaje palcos;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
41;;0;0;0;0;0;0;1;;;;;;Marco presupuestario 2019-2021;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
42;;0;0;0;0;0;0;1;;;;;;Contrato de Servicio de Desmontaje y traslado de palcos de Semana Santa 2018;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
43;;0;0;0;0;0;0;1;;;;;;Encomienda de gestion o convenio en materia sancionadora;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
44;;0;0;0;0;0;0;1;;;;;;Datos parque zoológico;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
45;;0;0;0;0;0;0;1;;;;;;Informacion OPAs;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
46;;0;0;0;0;0;0;1;;;;;;Plan para la mejora en el uso de datos abiertos;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
47;;0;0;0;0;0;0;1;;;;;;Informes Intervencion cumplimiento Plan de Ajuste;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
48;;0;0;0;0;0;0;1;;;;;;Obras nueva comisaria de Policía Local;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
49;;0;0;0;0;0;0;1;;;;;;Informes relacionados con declaración de alerta por PMP;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
50;;0;0;0;0;0;0;1;;;;;;Ampliación información OPAs;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
51;;0;0;0;0;0;0;1;;;;;;Informacion COMUJESA;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
52;;0;0;0;0;0;0;1;;;;;;Informe Tesorero de fecha 18 abril de 2018;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
53;;0;0;0;0;0;0;1;;;;;;Información solicitada por la Dirección General de Relaciones Financieras de la Junta de Andalucía;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
54;;0;0;0;0;0;0;1;;;;;;Informe Intervención seguimiento plan de ajuste 1er trimestre 2.018;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
55;;0;0;0;0;0;0;1;;;;;;Estado de ejecución presupuesto 2.018;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
56;;0;0;0;0;0;0;1;;;;;;Gastos con financiación afectada;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
57;;0;0;0;0;0;0;1;;;;;;Protocolo cesión edificio Escuela Idiomas;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
